event_id,event_date,year,in_sequence,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA30290,2021-05-15,2021,False,Violent demonstration,1,0,-1.2285160977971434,2.457032195594287,3.685548293391427,6.142580488985719,24.40631808278867,0.3685548293391427,751.0,,,3,False,True,True,v3_sequence_anchored_geo_distance
USA60059,2023-09-25,2023,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA41198,2022-04-01,2022,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA30699,2021-06-03,2021,False,Violent demonstration,1,0,-5.013953422861394,1.9572990859226322,6.971252508784026,8.928551594706652,23.06522325132379,0.9386067043886244,1307.56,3.24,0.52,25,True,True,True,v3_sequence_anchored_geo_distance
USA46614,2022-07-31,2022,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA38633,2022-01-29,2022,False,Violent demonstration,1,0,-1.5974867376746922,2.830999286174526,4.428486023849218,7.259485310023743,21.1208141950467,0.6420263589072522,899.04,1.7080000000000002,0.5,25,True,True,True,v3_sequence_anchored_geo_distance
USA22022,2021-01-21,2021,False,Peaceful protest,0,0,-4.6355932203389845,1.432826520438685,6.06841974077767,7.501246261216355,21.4872881355932,0.8904536390827525,1290.5,6.412121212121213,0.875,2,False,True,True,v3_sequence_anchored_geo_distance
USA21890,2021-01-18,2021,False,Peaceful protest,0,0,-2.52273500129626,1.4224316434855502,3.945166644781805,5.36759828826736,27.6134729924009,0.3663188657582765,983.0,0.0,,2,False,True,True,v3_sequence_anchored_geo_distance
USA21906,2021-01-18,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA46678,2022-07-30,2022,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20260,2021-01-07,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20052,2021-01-03,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
